"Step","SAbDab_Chen + DGL_GCN - R2","SAbDab_Chen + DGL_GCN - R2__MIN","SAbDab_Chen + DGL_GCN - R2__MAX","SAbDab_Chen + Transformer - R2","SAbDab_Chen + Transformer - R2__MIN","SAbDab_Chen + Transformer - R2__MAX","SAbDab_Chen + CNN_RNN - R2","SAbDab_Chen + CNN_RNN - R2__MIN","SAbDab_Chen + CNN_RNN - R2__MAX","SAbDab_Chen + CNN - R2","SAbDab_Chen + CNN - R2__MIN","SAbDab_Chen + CNN - R2__MAX"
"1","0.09857679989215787","0.09032505711261632","0.10682854267169942","0.12390232038634277","0.09494404799282365","0.15286059277986191","0.1097388320003641","0.10221095404960416","0.11726670995112404","0.38972330957523693","0.3758215054903284","0.4036251136601454"
"3","0.14851306031866723","0.08914257198673992","0.20788354865059455","0.12211516968945862","0.08509678353909983","0.15913355583981742","0.01903755525131479","0.0043368916499786705","0.03373821885265091","0.39139068254942116","0.3828921359257479","0.39988922917309444"
"5","0.21814246239510598","0.17200897321949227","0.2642759515707197","0.12938538728170143","0.0974749111442654","0.16129586341913746","0.1032390513923844","0.06513972507863852","0.14133837770613028","0.38501101234929613","0.3670679256338396","0.40295409906475266"
"7","0.20135235868699133","0.15625624747426925","0.24644846989971342","0.13078269931186878","0.11443820751272778","0.1471271911110098","0.18676539999258418","0.09451630299156175","0.2790144969936066","0.4021437843089369","0.3908503874316802","0.41343718118619355"
"9","0.18601552242656555","0.15907659898603832","0.21295444586709275","0.12486425434432871","0.100040604238686","0.1496879044499714","0.2758936912659795","0.21507082723771279","0.33671655529424627","0.4495944724240608","0.44104001811998816","0.45814892672813345"
"11","0.19772550091636157","0.13532104573559217","0.26012995609713097","0.12694466947016447","0.12229232806882456","0.1315970108715044","0.37602266745269264","0.37542389849689295","0.3766214364084923","0.48411710725230117","0.4794254618787578","0.4888087526258446"
"13","0.2484679767631467","0.21040938526132866","0.2865265682649647","0.1310786772099436","0.10936014237703688","0.1527972120428503","0.3857074636212484","0.3634766758189795","0.40793825142351736","0.5074505954203062","0.5021240649538683","0.5127771258867442"
"15","0.23618107207817574","0.19666019542896843","0.2757019487273831","0.13686123666409652","0.1148888460831012","0.15883362724509184","0.4111055687301429","0.3926666061779913","0.4295445312822946","0.5373777220612329","0.5310916638650969","0.543663780257369"
"17","0.1702937302033978","0.11115871651991709","0.22942874388687853","0.1344707054996222","0.10789413424322895","0.16104727675601543","0.40964827329060494","0.3858014121519293","0.43349513442928056","0.5667601582885667","0.5633559510331008","0.5701643655440327"
"19","0.22785670459473284","0.2193709080623096","0.2363425011271561","0.13211793098322616","0.12779264241581195","0.13644321955064034","0.45841270225766184","0.4514552084443682","0.4653701960709555","0.5815466737136538","0.5655944999564582","0.5974988474708494"
"21","0.24722865668055632","0.23004322946823633","0.26441408389287635","0.15904675917281572","0.14188557016095527","0.17620794818467617","0.4496068970018842","0.4440312321974973","0.45518256180627115","0.587743588621714","0.5715709194207625","0.6039162578226656"
"23","0.21902098263638245","0.17938429654037374","0.25865766873239115","0.1523126683206433","0.12592634041824508","0.17869899622304153","0.48138185904012964","0.4608953010314933","0.501868417048766","0.6071676388302709","0.6001596464788381","0.6141756311817036"
"25","0.24743153319207514","0.18972147042630244","0.30514159595784784","0.16834308469303844","0.13505369982349208","0.20163246956258477","0.4962358968720301","0.4920672870288445","0.5004045067152157","0.5956617491215304","0.5804740832683544","0.6108494149747064"
"27","0.23775515129388142","0.1985915048781149","0.27691879770964795","0.14614556977025228","0.12106221687157111","0.17122892266893347","0.4745843443855436","0.46497072142583007","0.4841979673452571","0.5997050979226131","0.5889248702736953","0.6104853255715308"
"29","0.2786654029381319","0.20864470286561654","0.34868610301064723","0.1715658592123703","0.13249646051896186","0.21063525790577875","0.506843072445429","0.5058663347834313","0.5078198101074267","0.6181828153808553","0.6107136201188796","0.625652010642831"
"31","0.2930407888640321","0.2590909683734554","0.32699060935460883","0.16251302929592826","0.10716648597501441","0.2178595726168421","0.4963048831161791","0.48942626808784817","0.50318349814451","0.6180915995063483","0.6134649977007086","0.6227182013119879"
"33","0.2993839109801635","0.2557387379990792","0.3430290839612477","0.1579759869454821","0.07909981818087672","0.23685215571008747","0.5070556483885693","0.501848340527628","0.5122629562495106","0.6152284758040518","0.6110511497423694","0.6194058018657342"
"35","0.3002912808273484","0.2973833221301398","0.303199239524557","0.1989604562194944","0.16559716076936187","0.23232375166962693","0.5191727498515454","0.512994525672873","0.5253509740302178","0.6147690183338316","0.604630958974411","0.6249070776932522"
"37","0.28433143667200644","0.28169385572142663","0.2869690176225862","0.21337363723939867","0.1629969012489322","0.2637503732298651","0.5269573943148108","0.5093721403346074","0.5445426482950142","0.6072393526540836","0.593647390462918","0.620831314845249"
"39","0.28210230909627","0.2707789469394152","0.29342567125312485","0.20498022124926846","0.15071506419955347","0.2592453782989834","0.5081722290715827","0.5052810746736578","0.5110633834695075","0.6200851286864032","0.6119234756873178","0.6282467816854886"
"41","0.2805684278810624","0.24734421944698892","0.3137926363151358","0.22038930942069357","0.18391490395722832","0.2568637148841588","0.5494244080385253","0.5355568713200345","0.5632919447570163","0.6084981853783678","0.6070102716621987","0.6099860990945369"
"43","0.2820367144182605","0.25059139663969093","0.31348203219683","0.20725539107273827","0.18247185702402174","0.2320389251214548","0.5528986798186998","0.548330888435061","0.5574664712023386","0.6124771409859615","0.6096746516731275","0.6152796302987955"
"45","0.2624312272976571","0.24494853827201546","0.2799139163232987","0.23015639412575037","0.17854487439092764","0.2817679138605731","0.5564642192302275","0.5552176712733969","0.557710767187058","0.610113269398443","0.6023302821278314","0.6178962566690547"
"47","0.2941188190457943","0.2638303643987546","0.324407273692834","0.23987135707438373","0.19107332410195882","0.28866939004680864","0.5190008352835551","0.49815625127965835","0.5398454192874519","0.6082519684510146","0.604509838126784","0.611994098775245"
"49","0.2842187822781794","0.23151265186059938","0.3369249126957595","0.23981684993598346","0.1803305862197058","0.29930311365226114","0.5269894779767477","0.5179462694473681","0.5360326865061273","0.604782961282951","0.6040434875909919","0.60552243497491"
"51","0.3015059726587558","0.284844788966233","0.31816715635127857","0.27136126566419483","0.21741737028723251","0.32530516104115714","0.5174698502792607","0.4664144345504605","0.568525266008061","0.6040560777936432","0.5982480953055758","0.6098640602817108"
"53","0.2961771296924043","0.24908174598802288","0.3432725133967857","0.26483187157019983","0.21182530851237302","0.3178384346280267","0.5356471222914597","0.5322370836367352","0.5390571609461843","0.6102034042874297","0.6032205080632032","0.6171863005116562"
"55","0.25160737972420677","0.15224197657418137","0.35097278287423217","0.26906282129261716","0.20875356285768612","0.32937207972754823","0.5228592091867874","0.5077763719572688","0.537942046416306","0.6139474251983055","0.6055810787364994","0.6223137716601117"
"57","0.27292044519120817","0.23263606910301754","0.31320482127939886","0.2769870163341954","0.22173588859570414","0.33223814407268676","0.538142874487353","0.5275149257553897","0.5487708232193163","0.6096287059643606","0.6026580261214363","0.6165993858072849"
"59","0.27943605189391535","0.24182663794792336","0.31704546583990734","0.2908445525155785","0.23460317849893397","0.34708592653222303","0.5195923144763317","0.49541594612097806","0.5437686828316854","0.6077461443566705","0.607456241060107","0.608036047653234"
"61","0.3069115455108493","0.2708597469140127","0.342963344107686","0.2945672406690474","0.23849222372922724","0.3506422576088676","0.5338934871628932","0.5174757602047122","0.5503112141210742","0.6009882777005959","0.5953051158544997","0.606671439546692"
"63","0.30496587944876363","0.2654116458484352","0.3445201130490921","0.3003645212879693","0.23974200760917141","0.3609870349667672","0.522648207683484","0.5133561675941803","0.5319402477727877","0.6071355409207237","0.5999892592238172","0.6142818226176302"
"65","0.26406004601750177","0.23374084435972936","0.2943792476752742","0.29356659569827076","0.220588874492606","0.3665443169039355","0.5401346766252904","0.5160440634862554","0.5642252897643254","0.6048583563697068","0.5900758355040271","0.6196408772353863"
"67","0.2912890849897553","0.21169096824764597","0.3708872017318646","0.3185348170841152","0.2583827277926524","0.37868690637557795","0.5375627037763513","0.5350379628339934","0.5400874447187092","0.6163639386349291","0.6140946799568499","0.6186331973130085"
"69","0.3088501729323907","0.2354382946730587","0.38226205119172263","0.3118083192883201","0.25421942024075456","0.36939721833588557","0.4955673676427915","0.4609289548810285","0.5302057804045546","0.6179666305549889","0.6124917945572181","0.6234414665527596"
"71","0.29676485819317544","0.26653956613646573","0.3269901502498851","0.31869026019540203","0.25735346843156653","0.38002705195923747","0.5447959081097853","0.5383808178801324","0.5512109983394382","0.6230249610283145","0.6196312327173019","0.6264186893393271"
"73","0.2810757599871885","0.2205280295342923","0.34162349044008467","0.32700830751502075","0.2713531517537976","0.3826634632762439","0.5109016787205602","0.4721787063223387","0.5496246511187818","0.6289883306807372","0.6176994559556763","0.6402772054057981"
"75","0.28322757645751656","0.21716601496374022","0.3492891379512929","0.3284136345853863","0.2669461780390451","0.38988109113172753","0.5500129575366335","0.5498272851427566","0.5501986299305105","0.609928940750566","0.6043340730093643","0.6155238084917678"
"77","0.27117895503542755","0.21811260566455196","0.3242453044063031","0.3287429665636589","0.26490978778541613","0.3925761453419017","0.538150113309108","0.5359495779402217","0.5403506486779942","0.6138557084936057","0.6077794311826175","0.619931985804594"
"79","0.22836921236123625","0.21049932619276468","0.24623909852970782","0.3356660274276746","0.265203910104286","0.40612814475106324","0.5596037649728232","0.5524031034142773","0.5668044265313689","0.5969107256078922","0.5948063102998076","0.5990151409159767"
"81","0.2787319390172905","0.24917531450990293","0.30828856352467804","0.33966548497752036","0.2877761166421959","0.3915548533128449","0.5631343670180438","0.549300392015797","0.5769683420202905","0.6133401957283275","0.6112042034018658","0.6154761880547894"
"83","0.2845082014635383","0.2593960684122472","0.3096203345148293","0.35011504747653666","0.29698577760700595","0.4032443173460674","0.5290249811989477","0.510333251241543","0.5477167111563523","0.6104509715269522","0.6056137392359113","0.615288203817993"
"85","0.2991441927439303","0.25670234920776513","0.34158603628009543","0.35164621072326213","0.30207776685919074","0.4012146545873335","0.5278728388659861","0.5152392988981234","0.5405063788338489","0.6159282449685135","0.6060582875573044","0.6257982023797227"
"87","0.3141279330264021","0.24954482666502192","0.37871103938778217","0.3578968315339208","0.305987779084057","0.40980588398378465","0.5398827841125682","0.5221870830487381","0.5575784851763983","0.6101315157947225","0.6053039815571131","0.6149590500323319"
"89","0.31074336959418875","0.2655949768594673","0.3558917623289102","0.35904642588160196","0.30375086418406405","0.41434198757913987","0.5340997739378712","0.5103574949219902","0.5578420529537523","0.6083424233333546","0.600036809649068","0.6166480370176413"
"91","0.3140944094126814","0.2658700745304681","0.36231874429489463","0.37348357737870186","0.3227908982935219","0.42417625646388174","0.5250130044617474","0.5212986372511914","0.5287273716723034","0.6122040211267922","0.6004448875975457","0.6239631546560387"
"93","0.3153275134498062","0.26372018498063987","0.3669348419189725","0.3638461650413104","0.30127044063822045","0.4264218894444004","0.5411434918037057","0.5301708454961148","0.5521161381112965","0.6146341620762626","0.6112216303999669","0.6180466937525584"
"95","0.3198048682293285","0.2589173441064792","0.3806923923521778","0.37128982668388566","0.31475562082616737","0.4278240325416039","0.5404265574891944","0.5085426577543718","0.5723104572240172","0.6165288512611857","0.6099597437924216","0.6230979587299499"
"97","0.31229170824914043","0.254644589620973","0.36993882687730784","0.37860940002846316","0.32683997660084635","0.43037882345608","0.5603548059309694","0.5536294875436936","0.5670801243182453","0.6199685569367597","0.6089104237444201","0.6310266901290992"
"99","0.2964154535409176","0.25435001457268747","0.3384808925091477","0.37832360462654585","0.3310190479670895","0.4256281612860022","0.5377824764418568","0.5275772207605859","0.5479877321231277","0.624218564123693","0.6136527181984579","0.6347844100489282"
"101","0.30399502631337566","0.2584256599648148","0.3495643926619365","0.37742972513660306","0.3370579076312772","0.4178015426419289","0.5532407668392851","0.5381606978015333","0.568320835877037","0.6065521480931089","0.603131440201086","0.6099728559851316"
"103","0.3077070704501761","0.2588784386623143","0.3565357022380379","0.3844215783806181","0.34863772460910725","0.4202054321521289","0.5673200991439247","0.5607498606522956","0.5738903376355537","0.6151322671251637","0.6075419268355062","0.6227226074148211"
"105","0.31210145163219216","0.29773373429828287","0.3264691689661014","0.38935181608479025","0.3472479791260643","0.4314556530435162","0.5397575043609917","0.5329438982961392","0.5465711104258442","0.6202085132575639","0.6109928069585707","0.6294242195565569"
"107","0.2872225272593565","0.2598606940941649","0.31458436042454807","0.39889156331920045","0.35478883939524997","0.44299428724315093","0.5296631598833532","0.5294217997938503","0.529904519972856","0.6162008918044286","0.6148225244320367","0.6175792591768207"
"109","0.304249790983945","0.26002520511667004","0.3484743768512199","0.40163654753832934","0.3651091705178173","0.4381639245588414","0.5489831947350634","0.5467981262385908","0.5511682632315361","0.6185731253425417","0.6162900531437585","0.620856197541325"
"111","0.318910156523373","0.2647120501563427","0.37310826289040333","0.3985983676951853","0.3619599463484227","0.43523678904194785","0.5232345820384026","0.4949038282526875","0.5515653358241177","0.615485532245974","0.6096814891167444","0.6212895753752037"
"113","0.30228835896550876","0.25417599649442973","0.35040072143658774","0.4010793255092069","0.36943335553062095","0.43272529548779276","0.5486272814002363","0.5232627386329","0.5739918241675727","0.6158978405009607","0.6132549256501985","0.618540755351723"
"115","0.33878135346876853","0.27882923971280144","0.3987334672247356","0.4073741721386127","0.38445508844718","0.43029325583004535","0.5419018713246677","0.5152059445719368","0.5685977980773985","0.6268308414742492","0.6267096112001194","0.6269520717483789"
"117","0.3003679521323698","0.2708708038509602","0.3298651004137793","0.40509993899777924","0.3805341608620888","0.4296657171334697","0.5414814912063874","0.5372989240427285","0.5456640583700464","0.6204554172313107","0.61593681991965","0.6249740145429714"
"119","0.3471214710359844","0.306562161647814","0.38768078042415477","0.4005931081912549","0.3804960586483526","0.42069015773415713","0.5391660639700268","0.5278425291408435","0.55048959879921","0.6014282265127585","0.5950767030392814","0.6077797499862356"
"121","0.3203430040227786","0.24857409871190417","0.39211190933365303","0.40425972106107966","0.3801936026394156","0.4283258394827437","0.5423744217084037","0.5348856465526999","0.5498631968641076","0.6110812170924184","0.6026899153676373","0.6194725188171994"
"123","0.310525835332408","0.24561692164253782","0.37543474902227825","0.41216264529590974","0.3888821947086648","0.43544309588315466","0.5536138116424827","0.5421751990688368","0.5650524242161287","0.6162821776918519","0.6120011424827426","0.6205632129009612"
"125","0.29261946499457653","0.22842255374543036","0.3568163762437227","0.39869432352250417","0.38577440303445143","0.4116142440105569","0.5480669829199614","0.5387664090729298","0.5573675567669929","0.6252351070633527","0.6235872002644067","0.6268830138622987"
"127","0.3403243389091307","0.28285268608389297","0.3977959917343685","0.402110636746279","0.39094933994993375","0.41327193354262426","0.5656739986072699","0.5656042052366594","0.5657437919778803","0.6157607202740374","0.6078028234370683","0.6237186171110066"
"129","0.31861909580891545","0.2706361143510415","0.36660207726678945","0.4026206115546823","0.3882859012812163","0.41695532182814826","0.5639817456798658","0.5616330255969746","0.566330465762757","0.6284983348903125","0.6246468154585256","0.6323498543220993"
"131","0.33235496009709287","0.3211616683858728","0.343548251808313","0.403343357788146","0.39068756872440447","0.41599914685188755","0.5447159874128651","0.5440120962280148","0.5454198785977152","0.6239379190222814","0.6146332459376034","0.6332425921069593"
"133","0.3257194259259185","0.27167349701578564","0.37976535483605145","0.4140003851350347","0.39934429989232656","0.4286564703777428","0.5585580710280421","0.5555897636981908","0.5615263783578934","0.6239473213279364","0.6157290497235062","0.6321655929323666"
"135","0.3231368040654349","0.2878055967062975","0.3584680114245723","0.4201777496094642","0.40892496908637044","0.4314305301325579","0.5710713348775698","0.55870190953507","0.5834407602200695","0.6217323088026645","0.6148990563461978","0.6285655612591311"
"137","0.2743920136636664","0.21768365358161298","0.33110037374571977","0.42224393975956","0.4109452725852243","0.43354260693389574","0.5484457392746485","0.5452710856959466","0.5516203928533503","0.626493547434568","0.6149739516347017","0.6380131432344343"
"139","0.338968524049724","0.2680589835255873","0.4098780645738607","0.4263895128729811","0.418466259049016","0.43431276669694624","0.524511995356598","0.5020873874697178","0.5469366032434781","0.6185037232570725","0.6099335170780716","0.6270739294360732"
"141","0.28846901506735384","0.2300846840395397","0.346853346095168","0.42709988552748057","0.41995910935232694","0.43424066170263415","0.5422500936585419","0.534833830655054","0.5496663566620299","0.6145602429339017","0.6088525958558304","0.6202678900119729"
"143","0.2975814445776974","0.25051328944351536","0.3446495997118794","0.42501569466791306","0.42085455184150133","0.4291768374943248","0.5212783215032945","0.4948475234095015","0.5477091195970873","0.6214122310167423","0.6198933362783781","0.6229311257551065"
"145","0.3206252718688084","0.2787022535933475","0.36254829014426937","0.42177057245484584","0.41788585336851786","0.4256552915411739","0.514732082559765","0.4823014210141925","0.5471627441053375","0.6168535374651283","0.6071906230649051","0.6265164518653514"
"147","0.3154435437772435","0.255503302971136","0.37538378458335103","0.4182950399727339","0.4156100493931794","0.4209800305522884","0.5570671961974123","0.5519250276778208","0.5622093647170039","0.6210046005245202","0.61558155250776","0.6264276485412803"
"149","0.3366312546606913","0.2575670121027124","0.4156954972186702","0.4241850852581764","0.423718852299797","0.4246513182165558","0.5324603635112987","0.5181464691238313","0.546774257898766","0.622798777309947","0.6185148546408439","0.6270826999790501"
"151","0.30129507514236725","0.2976978258294582","0.3048923244552763","0.42084284271932143","0.4155793490004517","0.4261063364381912","0.5337861428403939","0.5126954837113578","0.5548768019694301","0.6202528842866202","0.6168621224374207","0.6236436461358198"
"153","0.29852130894897266","0.2407618244140564","0.35628079348388897","0.42677804017718013","0.42268752245256574","0.43086855790179446","0.5451549266098447","0.5158394564797076","0.5744703967399817","0.6203568000927276","0.6140108645995046","0.6267027355859507"
"155","0.3289166280137965","0.30223798695573667","0.3555952690718563","0.4357632554677514","0.434076035192867","0.43745047574263585","0.5351198290822408","0.5217655094330398","0.5484741487314417","0.6181801197600749","0.61812175395521","0.61823848556494"
"157","0.3033077460055056","0.26530802203063614","0.341307469980375","0.42499909417480836","0.41629638026287236","0.43370180808674436","0.5484117943427621","0.5399410031261742","0.55688258555935","0.6153992802857846","0.6152369287268293","0.6155616318447399"
"159","0.3028020003778701","0.25574189924236324","0.34986210151337693","0.4251764156938147","0.41776042966848","0.4325924017191494","0.5571865136012886","0.5551507204453956","0.5592223067571815","0.6129315370904762","0.6063686072446045","0.6194944669363478"
"161","0.33511773702608866","0.27054666960147494","0.3996888044507024","0.4324786184461905","0.4235133311204431","0.44144390577193793","0.5329928900089046","0.5045282220618701","0.5614575579559391","0.620504244137625","0.6161647844588841","0.6248437038163659"
"163","0.30599144704205217","0.2306271403757983","0.38135575370830604","0.42798518715625544","0.4261674901526208","0.4298028841598901","0.5604057989446026","0.557032323461306","0.5637792744278992","0.6165688036133261","0.6126088581222584","0.6205287491043938"
"165","0.3377070775969454","0.2540002811483356","0.4214138740455552","0.4246147794487055","0.4217196995330567","0.42750985936435437","0.5272035374880072","0.5118718824266423","0.5425351925493721","0.6173137693664958","0.6106127867545879","0.624014751978404"
"167","0.3335549628300435","0.2991482497063051","0.36796167595378193","0.42619848365184265","0.415653530828208","0.4367434364754773","0.5829504872880615","0.5721000764057564","0.5938008981703665","0.626880160226393","0.6239794647526888","0.6297808557000972"
"169","0.2972752512283263","0.22646883575427373","0.36808166670237896","0.4283489392012666","0.4219606106761118","0.4347372677264214","0.5665848751441313","0.5607908621605404","0.5723788881277221","0.6251838879538753","0.6227847699443745","0.627583005963376"
"171","0.28241957795665357","0.20197998932680797","0.36285916658649914","0.420724356459181","0.42027239123945337","0.4211763216789086","0.5475556882901973","0.5431786611662297","0.5519327154141649","0.6220343398723649","0.6215757444569279","0.622492935287802"
"173","0.3364385288142726","0.26410756853475786","0.4087694890937873","0.4190755496810728","0.4109028438715985","0.4272482554905471","0.5390173373607068","0.5354159728300522","0.5426187018913615","0.6234609342138497","0.6194856355477301","0.6274362328799693"
"175","0.33497335750033297","0.3218054762339057","0.3481412387667602","0.4228736718086037","0.42051239078915414","0.42523495282805324","0.5408329549162012","0.5295840324950306","0.5520818773373717","0.614226453753167","0.6130452228934884","0.6154076846128457"
"177","0.2962282531127784","0.24020822136516992","0.35224828486038684","0.4192321481475234","0.40770193609611993","0.43076236019892694","0.5555525712936517","0.5425769205710238","0.5685282220162795","0.623112238683879","0.6223958939131764","0.6238285834545816"
"179","0.342422495025689","0.28342962492341695","0.40141536512796105","0.4339542365115223","0.42741625218928964","0.44049222083375505","0.5514582432843846","0.5451199271606585","0.5577965594081109","0.6267022079323947","0.6251835317671077","0.6282208840976816"
"181","0.3169940754184705","0.22778238773515613","0.4062057631017849","0.43625203615406305","0.4347276131387565","0.4377764591693696","0.5528225264985634","0.5438785093503149","0.561766543646812","0.6219090813258766","0.6198270471898761","0.6239911154618771"
"183","0.33384866210373065","0.26205636316314973","0.4056409610443115","0.4383611704447554","0.43316220072866246","0.4435601401608483","0.5588161391905377","0.5538523898649529","0.5637798885161227","0.6120889012537556","0.6054060053892074","0.6187717971183039"
"185","0.3019842887167615","0.2195226405960641","0.38444593683745887","0.4372396660107641","0.43520058210375","0.43927874991777816","0.5460465604087008","0.5404542842789826","0.5516388365384189","0.6293618194994719","0.620331369190946","0.6383922698079978"
"187","0.31843989322084465","0.2906681807888496","0.34621160565283976","0.4357520571745479","0.43169592990869665","0.43980818444039915","0.5415401518498519","0.5188480843229061","0.5642322193767978","0.6198131872541228","0.6103722243246413","0.6292541501836044"
"189","0.2910648359534509","0.2017250543607249","0.38040461754617694","0.42606219996512634","0.4215492124101676","0.4305751875200851","0.5418641640256987","0.5263965640227843","0.5573317640286132","0.6282797395313549","0.626977417424639","0.6295820616380707"
"191","0.29766252665728166","0.2272476776828999","0.36807737563166343","0.43026623106682205","0.42443352985699345","0.4360989322766507","0.5485919885019646","0.5464392569501322","0.550744720053797","0.6151361986625742","0.6022627671914618","0.6280096301336866"
"193","0.30209902055069715","0.2558363348602181","0.34836170624117624","0.4408275734736392","0.4389580726770502","0.44269707427022825","0.5397313512222459","0.5229264200180506","0.5565362824264414","0.6188114500499149","0.6167781246937316","0.6208447754060983"
"195","0.336496854925732","0.2971189079883473","0.3758748018631168","0.4279762108381967","0.41321074286564063","0.44274167881075277","0.5470199965967458","0.5331100643222724","0.5609299288712193","0.6219595804564495","0.6187222186887784","0.6251969422241206"
"197","0.34746674496453245","0.3415380166721931","0.3533954732568718","0.42412267221790273","0.41584770071036026","0.4323976437254452","0.5293678420867753","0.5217856822963824","0.5369500018771682","0.61868693935402","0.6184150700457292","0.6189588086623108"
"199","0.3308982205823254","0.29144328289372046","0.3703531582709303","0.4348497905386559","0.4325495362871818","0.4371500447901301","0.5451722359500585","0.5431087612216696","0.5472357106784473","0.6135697159025071","0.6065392708861445","0.6206001609188698"