Step,SubCellular + DGL_NeuralFP - training loss,SubCellular + DGL_NeuralFP - training loss__MIN,SubCellular + DGL_NeuralFP - training loss__MAX,SubCellular + DGL_GCN - training loss,SubCellular + DGL_GCN - training loss__MIN,SubCellular + DGL_GCN - training loss__MAX,SubCellular + CNN_RNN - training loss,SubCellular + CNN_RNN - training loss__MIN,SubCellular + CNN_RNN - training loss__MAX,SubCellular + Transformer - training loss,SubCellular + Transformer - training loss__MIN,SubCellular + Transformer - training loss__MAX,SubCellular + CNN - training loss,SubCellular + CNN - training loss__MIN,SubCellular + CNN - training loss__MAX
0,2.086071253,1.81479001,2.357352495,1.808678925,1.737751961,1.879605889,1.547227204,1.475578904,1.618875504,1.865807533,1.676999092,2.054615974,1.621692419,1.621692419,1.621692419
2,1.780292332,1.752951622,1.807633042,1.626697481,1.591568232,1.66182673,2.766487718,2.414972782,3.118002653,1.328846455,1.295193672,1.362499237,1.478504062,1.478504062,1.478504062
4,1.717231333,1.700671315,1.733791351,1.449571848,1.156806588,1.742337108,2.340962589,1.553544879,3.128380299,2.286371827,1.993862629,2.578881025,1.108586192,1.108586192,1.108586192
6,1.889433503,1.598879576,2.179987431,1.68507278,1.630284429,1.739861131,1.587800622,1.009766579,2.165834665,1.653208375,1.552379727,1.754037023,0.755829334,0.755829334,0.755829334
8,1.577118516,1.491266131,1.662970901,1.041099042,0.943686426,1.138511658,0.960436672,0.843235791,1.077637553,2.288873255,1.941173673,2.636572838,1.492502809,1.492502809,1.492502809
10,1.674470544,1.416217446,1.932723641,1.540785253,1.004795909,2.076774597,1.5365659,1.508802772,1.564329028,1.58586669,1.448424101,1.723309278,1.646851778,1.646851778,1.646851778
12,1.587709248,1.583790898,1.591627598,1.160608381,0.871123493,1.450093269,2.007695735,1.671357512,2.344033957,1.562461913,1.313904762,1.811019063,0.987356544,0.987356544,0.987356544
14,1.309717238,1.092122555,1.527311921,1.142554224,1.02885139,1.256257057,1.499467731,1.467243671,1.53169179,1.164011836,0.855436087,1.472587585,0.364863425,0.364863425,0.364863425
16,1.44084245,1.40624392,1.475440979,1.460906506,1.453480601,1.46833241,0.971519649,0.499330282,1.443709016,1.285092294,0.997451901,1.572732687,1.986930847,1.986930847,1.986930847
18,1.914105237,1.757227302,2.070983171,0.949415326,0.914477527,0.984353125,0.968206674,0.600056469,1.336356878,1.454833239,0.862963855,2.046702623,1.211298943,1.211298943,1.211298943
20,1.353133917,1.226587772,1.479680061,1.257644355,1.219306469,1.295982242,1.13912797,0.977244139,1.301011801,1.629054129,1.386723876,1.871384382,0.963463604,0.963463604,0.963463604
22,1.341466188,1.273917198,1.409015179,0.822836667,0.701178312,0.944495022,0.748588055,0.688283563,0.808892548,1.032359481,0.720413685,1.344305277,0.798453689,0.798453689,0.798453689
24,1.375934482,1.371786833,1.38008213,0.71204862,0.679752469,0.744344771,0.573612213,0.372076154,0.775148273,1.417207718,1.361549616,1.47286582,1.305553198,1.305553198,1.305553198
26,1.574326277,1.501560688,1.647091866,1.157866359,0.930220366,1.385512352,0.977773279,0.406652749,1.548893809,1.208104134,0.982242584,1.433965683,1.009283066,1.009283066,1.009283066
28,1.261035383,1.226827741,1.295243025,0.876889735,0.826538503,0.927240968,0.36390844,0.326856017,0.400960863,1.943684101,1.914742947,1.972625256,0.122259978,0.122215927,0.12230403
30,1.491161585,1.272121072,1.710202098,0.977348417,0.918023884,1.03667295,0.338546365,0.322277814,0.354814917,1.326138139,1.116941094,1.535335183,1.08470124,1.083844066,1.085558414
32,1.623041809,1.330384254,1.915699363,1.163568854,1.050921679,1.27621603,0.609093294,0.427355438,0.790831149,1.267217815,0.839274406,1.695161223,1.260984778,1.25037694,1.271592617
34,1.384616971,1.274992943,1.494240999,0.982599944,0.77139312,1.193806767,0.360727653,0.234492779,0.486962527,1.413910449,1.021155715,1.806665182,2.291389585,2.28344059,2.299338579
36,1.573717833,1.555863976,1.591571689,1.010517925,0.96405524,1.05698061,0.439509392,0.177077472,0.701941311,1.591301382,1.331617713,1.85098505,0.749476194,0.729421437,0.769530952
38,1.553990126,1.487982154,1.619998097,0.865124851,0.555694163,1.17455554,0.253598783,0.090411581,0.416785985,1.97924006,1.867068052,2.091412067,0.416763112,0.411292762,0.422233462
40,1.70391053,1.459247231,1.948573828,0.629835725,0.47293669,0.78673476,0.089685578,0.062046342,0.117324814,1.516097307,1.486613154,1.54558146,0.025814351,0.024449207,0.027179495
42,1.555441022,1.517032504,1.59384954,0.950522542,0.740639806,1.160405278,0.34055429,0.011231706,0.669876873,1.517733932,1.360844254,1.674623609,0.949664116,0.935203314,0.964124918
44,1.538335204,1.537068009,1.539602399,0.790220439,0.604715288,0.975725591,0.10690402,0.000180955,0.213627085,1.037173182,0.81611973,1.258226633,0.317139298,0.312111467,0.322167128
46,1.683426201,1.526302099,1.840550303,0.80101499,0.58664006,1.015389919,0.000592,0.000492784,0.000691216,1.180871189,1.095443606,1.266298771,0.909004688,0.884448647,0.933560729
48,1.513114035,1.354064703,1.672163367,0.975204825,0.742491961,1.20791769,0.005249742,0.001969769,0.008529714,0.937838018,0.764066577,1.111609459,2.331770539,2.287348032,2.376193047
50,1.712926626,1.444134712,1.98171854,0.73730734,0.723713279,0.750901401,0.001819431,2.17253E-05,0.003617137,1.265270025,0.707001507,1.823538542,0.618153602,0.600551546,0.635755658
52,1.601672769,1.541815758,1.661529779,0.913997054,0.859344602,0.968649507,0.009126888,0.008219052,0.010034724,1.552317977,1.423513651,1.681122303,0.828046739,0.812980413,0.843113065
54,1.172006607,1.103884578,1.240128636,0.630029708,0.612481475,0.647577941,0.034253749,0.001337391,0.067170106,1.875871181,1.652883768,2.098858595,0.642627746,0.524651706,0.760603786
56,1.734950423,1.722060561,1.747840285,0.39847669,0.324394763,0.472558618,0.050712344,0.002928839,0.098495848,1.572764516,1.306377769,1.839151263,0.548893988,0.52209276,0.575695217
58,1.489020646,1.326843381,1.65119791,0.419378176,0.353537798,0.485218555,0.003272337,6.67795E-05,0.006477894,1.324782968,1.184337854,1.465228081,0.175169989,0.167068243,0.183271736
60,1.577241004,1.526394844,1.628087163,0.415830135,0.260547161,0.57111311,0.002244757,6.4577E-05,0.004424937,1.045668542,1.013446927,1.077890158,0.377759606,0.317083806,0.438435405
62,1.529754996,1.321458578,1.738051414,0.405949809,0.203312829,0.608586788,0.13945172,0.120003954,0.158899486,1.304036319,0.802636027,1.805436611,0.014897062,0.006009699,0.023784425
64,1.748569846,1.464284658,2.032855034,0.499141127,0.439527571,0.558754683,0.001232917,0.000541264,0.001924571,1.262736678,0.734162688,1.791310668,0.203986446,0.029952547,0.378020346
66,1.747440696,1.671785593,1.823095798,0.547317654,0.230989635,0.863645673,0.012316747,0.011121839,0.013511655,1.489988267,1.15259254,1.827383995,0.588863671,0.495929301,0.681798041
68,1.892693758,1.724865198,2.060522318,0.49697195,0.294949919,0.698993981,0.007837432,0.000323845,0.015351019,0.965024769,0.832979321,1.097070217,0.189223453,0.184146866,0.194300041
70,1.712300658,1.508244753,1.916356564,0.293045182,0.118688054,0.467402309,0.002414868,0.001230188,0.003599547,1.567791224,1.516299725,1.619282722,0.126829008,0.013888691,0.239769325
72,1.601946235,1.506910682,1.696981788,0.522399604,0.26793766,0.776861548,7.6986E-05,2.89071E-05,0.000125065,1.000318468,0.749266148,1.251370788,0.05035018,0.046113931,0.054586429
74,1.491687238,1.317441583,1.665932894,0.301597029,0.266041219,0.337152839,0.001466186,2.23517E-06,0.002930136,1.909276366,1.13564229,2.682910442,0.92090115,0.836331546,1.005470753
76,1.437125623,1.428196549,1.446054697,0.211838368,0.066663094,0.357013643,0.000360413,0.000253761,0.000467064,1.286875069,1.153245211,1.420504928,0.101369008,0.053509042,0.149228975
78,1.579659641,1.480311155,1.679008126,0.296224907,0.260543615,0.331906199,0.004704177,0.000734233,0.008674121,1.761584401,1.405136347,2.118032455,0.038036248,0.017281141,0.058791354
80,1.699967682,1.690992713,1.708942652,0.34490326,0.219830811,0.46997571,0.006089925,0,0.01217985,1.274848998,1.014701486,1.53499651,0.25122007,0.224119142,0.278320998
82,1.402149737,1.217335463,1.586964011,0.418562636,0.299738139,0.537387133,6.98857E-06,2.44378E-06,1.15334E-05,0.943142503,0.833726346,1.052558661,0.133782826,0.121843964,0.145721689
84,1.559416771,1.489540696,1.629292846,0.197131701,0.182028651,0.21223475,0.01680769,0.01240943,0.021205951,1.109586298,0.692820668,1.526351929,0.550507657,0.152083263,0.948932052
86,1.304440081,1.185870051,1.423010111,0.355525777,0.337448537,0.373603016,0.010005039,0.007272309,0.01273777,0.938028276,0.737281561,1.138774991,0.047017691,7.69152E-05,0.093958467
88,1.916564286,1.740282178,2.092846394,0.257625587,0.081339046,0.433912128,0.001745393,0.00087081,0.002619975,0.679000586,0.528080761,0.829920411,0.016493804,0.004726183,0.028261425
90,1.355599642,1.219991207,1.491208076,0.336830631,0.240126491,0.433534771,0.028075201,9.08958E-06,0.056141313,1.497815549,0.655943751,2.339687347,0.479053557,0.150847316,0.807259798
92,1.205062091,1.069401503,1.34072268,0.258398809,0.189359501,0.327438116,3.22436E-05,2.89081E-06,6.15964E-05,1.153037786,1.143189311,1.162886262,0.011171944,0.008979468,0.013364419
94,1.504349649,1.494841695,1.513857603,0.287884504,0.075165272,0.500603735,0.066542458,0.058441192,0.074643724,0.916358948,0.462877274,1.369840622,0.292753741,0.280245095,0.305262387
96,1.638461053,1.382332087,1.89459002,0.381449267,0.249821514,0.513077021,2.79087E-05,2.30957E-05,3.27216E-05,1.026556134,0.712744713,1.340367556,0.17145816,0.006071488,0.336844832
98,1.784338415,1.634777308,1.933899522,0.633693762,0.193621412,1.073766112,0.000226351,0.000226336,0.000226367,0.677102059,0.661053836,0.693150282,0.05610396,0.003070847,0.109137073
100,1.586851597,1.389086008,1.784617186,0.346256524,0.253848046,0.438665003,0.004815788,0.001033949,0.008597627,1.429612041,1.415585756,1.443638325,0.089112855,0.021969063,0.156256646
102,1.389356852,1.38832736,1.390386343,0.313055396,0.166900188,0.459210604,0.009110096,0.000871722,0.01734847,0.749786824,0.687184155,0.812389493,0.13998232,0.083705783,0.196258858
104,1.373730123,1.31165731,1.435802937,0.317691892,0.302610368,0.332773417,0.021239518,0.000905467,0.041573569,0.795094796,0.237717047,1.352472544,0.001062966,0.000528881,0.001597051
106,1.53273946,1.311082006,1.754396915,0.420589155,0.05535252,0.785825789,0.000440073,0.000403883,0.000476263,0.929094613,0.908581138,0.949608088,0.003265553,0.000663877,0.005867229
108,1.448291957,1.344346285,1.55223763,0.249212839,0.152577326,0.345848352,0.086698603,0.031690277,0.141706929,1.060551852,0.845585406,1.275518298,0.0016548,0.001587744,0.001721856
110,1.394410133,1.369794369,1.419025898,0.129658118,0.077650577,0.181665659,8.13185E-05,7.71467E-05,8.54903E-05,1.220303684,0.864276946,1.576330423,0.014877408,0.00494596,0.024808856
112,1.972992063,1.758950233,2.187033892,0.239088371,0.133578628,0.344598114,0.00170088,7.58396E-05,0.00332592,1.129086196,0.739303827,1.518868566,0.029148607,0.003294938,0.055002276
114,1.329285264,1.311537743,1.347032785,0.209764794,0.160638511,0.258891076,1.95347E-05,1.19E-07,3.89503E-05,1.046733677,0.756889582,1.336577773,0.032793146,0.024031207,0.041555084
116,1.521287739,1.348353028,1.69422245,0.173788019,0.134483457,0.21309258,0.070943983,0.000169309,0.141718656,0.414822202,0.08513733,0.744507074,0.000532495,0.000396602,0.000668388
118,1.158862591,0.922834277,1.394890904,0.661065727,0.504026234,0.818105221,0.000250184,0.000202365,0.000298003,0.469204038,0.410509765,0.527898312,0.211829588,0.169629097,0.254030079
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
