"Step","TAP + DGL_GAT - R2","TAP + DGL_GAT - R2__MIN","TAP + DGL_GAT - R2__MAX","TAP + Transformer - R2","TAP + Transformer - R2__MIN","TAP + Transformer - R2__MAX","TAP + CNN_RNN - R2","TAP + CNN_RNN - R2__MIN","TAP + CNN_RNN - R2__MAX","TAP + CNN - R2","TAP + CNN - R2__MIN","TAP + CNN - R2__MAX"
"1","0.7069891253656737","0.6767567920602213","0.7372214586711261","0.05122781875626047","-0.010226267723354415","0.11268190523587536","0.1593164227929756","0.14070961010864688","0.17792323547730426","-0.21868254550227587","-0.26317979569064975","-0.17418529531390198"
"3","0.7300361194147977","0.7237363446298154","0.73633589419978","0.09381973790870987","0.06971830440238815","0.11792117141503161","-0.1750258973633962","-0.19689860065694645","-0.1531531940698459","-0.22251440430206215","-0.26369139470101677","-0.18133741390310754"
"5","0.7125257726044598","0.7002872170817243","0.7247643281271954","0.12471344018381189","0.10273607730698407","0.14669080306063972","-0.07857169816270414","-0.23923186878050168","0.0820884724550934","-0.15231392026531568","-0.16540921034462353","-0.13921863018600783"
"7","0.7228621064448135","0.7224610573423329","0.7232631555472941","0.14036398429497024","0.11959189502007342","0.16113607356986706","-0.21144221576950445","-0.22418659439291255","-0.19869783714609635","-0.1357970168579254","-0.2788267007166465","0.007232667000795723"
"9","0.7306172748112117","0.7252197603134067","0.7360147893090168","0.13578200070015148","0.10024223398521387","0.1713217674150891","0.03332865397957721","0.0017595725773346393","0.06489773538181978","-0.0716078234761914","-0.27260503866164343","0.12938939170926061"
"11","0.7357691197960718","0.7304060958107206","0.7411321437814231","0.11537509990614671","0.05274251862113019","0.17800768119116323","-0.010606893876216675","-0.11411811911403727","0.09290433136160392","-0.0008504310705568369","-0.20295441822834906","0.20125355608723539"
"13","0.7411808151494717","0.7329443964873865","0.7494172338115568","0.11426179141951383","0.03828493512617426","0.1902386477128534","-0.12984314774087005","-0.1403837522393395","-0.11930254324240061","0.10957120226738877","-0.02112423013334272","0.24026663466812026"
"15","0.7426874196805546","0.7317377728702119","0.7536370664908973","0.11380185061462565","0.03287322805024759","0.19473047317900372","0.11200277350128518","-0.0050475803565390165","0.22905312735910938","0.19779906801633454","0.13370323559413427","0.2618949004385348"
"17","0.744169993606913","0.7315941143255591","0.7567458728882671","0.12307081192870493","0.05010720985544656","0.1960344140019633","-0.0515308392805543","-0.11454165275150395","0.011479974190395361","0.23251670853711282","0.19315819949149018","0.2718752175827355"
"19","0.7460964046396299","0.7339873944275235","0.7582054148517364","0.13111001636410277","0.06628760769009549","0.19593242503811004","0.16399910757560374","0.01820544024785071","0.30979277490335677","0.24811026949993673","0.23156359809586452","0.26465694090400893"
"21","0.7478415990152749","0.7378332264768501","0.7578499715536996","0.13871685979636553","0.08291454018367887","0.1945191794090522","0.028653881685791666","-0.11685967166879963","0.17416743504038296","0.2573030437222644","0.24822317289978166","0.26638291454474716"
"23","0.7472511215939484","0.7387168988095381","0.7557853443783586","0.145545281136563","0.09713427628507677","0.19395628598804923","0.1376691390315978","0.007308311938662784","0.26802996612453284","0.2590191714783826","0.22626258552531447","0.2917757574314507"
"25","0.7457425269575388","0.7388536257065812","0.7526314282084964","0.14776109836055457","0.10289327237095373","0.19262892435015538","0.009885924128271467","-0.1259884167636372","0.14576026502018014","0.25668817743520395","0.20298598428691442","0.31039037058349345"
"27","0.7463499620511607","0.7419526035109315","0.7507473205913898","0.15536162092242226","0.1185550725755984","0.19216816926924613","0.14694888116059351","0.1250407771817761","0.16885698513941091","0.24699619037208392","0.17417494502294756","0.3198174357212203"
"29","0.7481551754942686","0.7468708216435557","0.7494395293449816","0.1652425413571722","0.13638319857446","0.19410188413988438","0.10243284784433183","0.04420491390212247","0.1606607817865412","0.25219253115394924","0.17215692443913405","0.33222813786876443"
"31","0.7521922655297457","0.7506682397225195","0.7537162913369719","0.17181652591172508","0.14804091151978988","0.19559214030366026","-0.26119209664262916","-0.4969135755194177","-0.025470617765840628","0.26409193024112554","0.1908182690541207","0.33736559142813033"
"33","0.7563619929943501","0.7522697588808807","0.7604542271078197","0.17209421844623193","0.15026817391711328","0.1939202629753506","0.055292573185014786","0.0350618411608781","0.07552330520915147","0.2753291653624364","0.20602446570487157","0.34463386502000126"
"35","0.7589655242971394","0.753273733373117","0.7646573152211618","0.17280186763468874","0.150859584208148","0.19474415106122953","0.04519260006231918","-0.21531174605357173","0.3056969461782101","0.2878184112583774","0.2105187593313411","0.36511806318541373"
"37","0.7616727491724898","0.7542379027720281","0.7691075955729516","0.1733138343553493","0.15448440621667928","0.1921432624940193","-0.040391232303194184","-0.19679822968209182","0.11601576507570345","0.3009398274237527","0.20995726422927213","0.3919223906182333"
"39","0.7613948170818012","0.751744194314498","0.7710454398491045","0.17600846873788262","0.1587549452876291","0.1932619921881361","0.0027326060684967485","-0.13881575427738227","0.14428096641437577","0.31099184104481037","0.20675594287711108","0.4152277392125097"
"41","0.7649698430734886","0.7559817689917016","0.7739579171552755","0.17702542200297317","0.16093705918486226","0.19311378482108407","-0.005540019822277753","-0.2805599071300241","0.2694798674854686","0.3118573642863529","0.20707689334359547","0.4166378352291104"
"43","0.766517676511989","0.7571863881167478","0.7758489649072302","0.17738072959428058","0.16246211269598548","0.1922993464925757","-0.0321056016415846","-0.12093088881030316","0.05671968552713395","0.30983019481241103","0.21004672058759066","0.40961366903723134"
"45","0.769200611461238","0.7601662859279299","0.7782349369945459","0.17824685865107337","0.1627745551642602","0.19371916213788656","0.2011704537277888","0.1068452786670696","0.295495628788508","0.3097253585285047","0.21251488891431525","0.40693582814269413"
"47","0.7722455557271151","0.7655545125428771","0.778936598911353","0.179836084420074","0.16672095022875344","0.19295121861139458","0.021401545446253535","-0.02826373486172494","0.07106682575423201","0.31467994113040393","0.21387149534441607","0.4154883869163918"
"49","0.7733775180938871","0.7649189029598816","0.7818361332278927","0.18087126759986888","0.17073867592286868","0.19100385927686908","0.013523650552099475","-0.17085838111812618","0.19790568222232513","0.31800551067332833","0.21463850792864303","0.42137251341801363"
"51","0.7741879691110514","0.7660204576831836","0.7823554805389192","0.1799364003404031","0.17150018435533376","0.18837261632547242","0.1931037290761669","0.09374870695793062","0.2924587511944032","0.32078209750992015","0.21413060570072934","0.427433589319111"
"53","0.774748372854817","0.7675229725746154","0.7819737731350185","0.182229818163545","0.17722798553406446","0.18723165079302553","0.02024618622984202","-0.14986151675928064","0.19035388921896468","0.32196232092101057","0.21371036470313182","0.4302142771388893"
"55","0.7760014624766913","0.7689867680548648","0.7830161568985178","0.18184735132227242","0.1749458445720995","0.18874885807244535","0.14334369881741507","0.1231671451460112","0.16352025248881896","0.32296077379133475","0.21401533281770627","0.43190621476496327"
"57","0.7766786827385874","0.7708110009464446","0.7825463645307302","0.18009817965046232","0.1729304010102741","0.1872659582906505","0.030909804238673698","0.012754021621067077","0.04906558685628032","0.32461307310697984","0.214448905388294","0.43477724082566566"
"59","0.7789035944998798","0.7724861097105253","0.7853210792892342","0.17899095947215335","0.17162949936987565","0.18635241957443105","0.15720755655859675","0.1522781592320491","0.16213695388514437","0.32720918876555094","0.21538541406312312","0.4390329634679788"
"61","0.7812390045419351","0.7768794047035181","0.7855986043803521","0.18154582947698433","0.1720170806172098","0.19107457833675887","-0.26104676519071546","-0.3309101486050118","-0.19118338177641908","0.32944428379814145","0.21444744119716172","0.44444112639912114"
"63","0.7827793195814465","0.7790650398773118","0.7864935992855812","0.18305412931403453","0.17363915572254265","0.19246910290552638","-0.017572990698715173","-0.15223401098601916","0.11708802958858881","0.33186948858434717","0.2142376352159196","0.4495013419527747"
"65","0.7858735761077584","0.7797105940735505","0.7920365581419664","0.18602660286679806","0.17733144593070796","0.1947217598028882","0.0926774435996335","0.08048451142284918","0.1048703757764178","0.33452211239885543","0.21423113030194213","0.4548130944957688"
"67","0.7901825599501697","0.7807500746240431","0.7996150452762962","0.18851434214875804","0.178808174094721","0.19822051020279507","0.04241732155137322","-0.17541592796904473","0.26025057107179117","0.3391978907666726","0.21560757596732122","0.462788205566024"
"69","0.7916956844771363","0.7807762895052075","0.8026150794490652","0.19092109485237854","0.18356748370380832","0.19827470600094876","-0.0615020033709176","-0.08838859251358097","-0.034615414228254225","0.34320139711653397","0.21493511597904924","0.4714676782540187"
"71","0.7937039731266269","0.7808053437491989","0.806602602504055","0.19345886210427754","0.18850086745800326","0.1984168567505518","-0.4181843288322522","-0.49921401638860785","-0.3371546412758966","0.3443474648861654","0.21262145645424158","0.4760734733180892"
"73","0.7967744121382199","0.7847555638205742","0.8087932604558656","0.19465630658266175","0.19104982235113843","0.19826279081418505","0.18492704630603474","0.1687015682441857","0.20115252436788378","0.34572872205314137","0.21125532647204415","0.4802021176342386"
"75","0.7969463034886131","0.7832831132262508","0.8106094937509754","0.19477368808732987","0.19054451544164225","0.1990028607330175","-0.20538655008244125","-0.3804427101878112","-0.03033038997707134","0.3479257263634497","0.21096873844847314","0.4848827142784263"
"77","0.7979271057271274","0.781749914847162","0.8141042966070928","0.19337115621269998","0.18916571641328406","0.1975765960121159","0.20152958103956306","0.16726151401825218","0.23579764806087394","0.3492242622518789","0.21030292142748566","0.4881456030762722"
"79","0.7970882729042668","0.7799447256643413","0.8142318201441923","0.19158585869744005","0.18669142123202054","0.19648029616285953","0.4965896132864397","0.4057696867978681","0.5874095397750112","0.3496530475611419","0.20900175793136722","0.49030433719091665"
"81","0.7967860931520815","0.7802969802106825","0.8132752060934805","0.19159214752524129","0.18447517906654698","0.1987091159839356","0.06523460961117236","-0.10999417304601912","0.24046339226836386","0.35098801933829643","0.2089205209396241","0.49305551773696876"
"83","0.7966503265460445","0.7824743058086141","0.8108263472834749","0.19061731391065567","0.18134707523108953","0.1998875525902218","0.1224145632188977","0.059640726313291204","0.1851884001245042","0.35149347578294066","0.20700167554866236","0.4959852760172189"
"85","0.7973162884934364","0.7840203616684268","0.810612215318446","0.19151225058011895","0.17947223341350352","0.20355226774673435","-0.05598639308626668","-0.13800845794746563","0.02603567177493228","0.3522644893798431","0.2057961099905921","0.4987328687690941"
"87","0.8003416036204686","0.7846720417544941","0.816011165486443","0.19201962917369253","0.17938845393299752","0.20465080441438757","-0.01268267070024217","-0.11432156231590121","0.08895622091541687","0.3548125971332972","0.20773067089945485","0.5018945233671396"
"89","0.8030772355342248","0.7877958960010789","0.8183585750673706","0.19341889176115434","0.18076565428156682","0.20607212924074186","-0.07364332688452703","-0.23122391323596428","0.08393725946691022","0.3579365919506391","0.2107663701758214","0.5051068137254568"
"91","0.8046800054963964","0.7882680178978402","0.8210919930949526","0.19499900833645697","0.1829937731746436","0.20700424349827035","0.3981252503176113","0.3771685072080202","0.4190819934272024","0.3620499434536979","0.21577311474130784","0.5083267721660879"
"93","0.8043644702026798","0.7848342609784068","0.8238946794269528","0.19702022771708833","0.18605955940434823","0.20798089602982844","0.1589788142278147","-0.041496808839825386","0.3594544372954548","0.36591211976140514","0.21974750535468596","0.5120767341681243"
"95","0.8047862839339179","0.7835026537651975","0.8260699141026385","0.19750444427121286","0.18902164289836587","0.20598724564405985","-0.05338342503520206","-0.1433197134290512","0.036552863358647075","0.3685963681982375","0.22072013252789496","0.5164726038685801"
"97","0.8057549854690378","0.7858136559783405","0.825696314959735","0.19777363814507126","0.18946066903235204","0.2060866072577905","0.17420444340505664","-0.13363120908020715","0.48204009589032043","0.371118160152519","0.22029117786935648","0.5219451424356816"
"99","0.8072778545782262","0.7878064357443568","0.8267492734120956","0.19851128987892336","0.19030352826748442","0.2067190514903623","0.2676989041348581","0.18235715412771553","0.3530406541420006","0.3746989016586616","0.22262327517577354","0.5267745281415497"
"101","0.8079792546816196","0.7888412674309565","0.8271172419322828","0.19979906308373568","0.19247695325548825","0.2071211729119831","0.1833844680035055","0.17246642533882622","0.1943025106681848","0.3781873242445797","0.2249998897521776","0.5313747587369818"
"103","0.8070822069530736","0.789374511730425","0.8247899021757221","0.19947406256896927","0.19134724665400676","0.20760087848393174","0.5345499437486603","0.5036716506787029","0.5654282368186176","0.3813391639555583","0.22753234284505972","0.5351459850660568"
"105","0.8065076242014482","0.7893722768705791","0.8236429715323174","0.1990362911211107","0.1896139878390852","0.20845859440313624","0.2014872946658255","0.021569456907769576","0.3814051324238814","0.38276480460123935","0.22760850881937153","0.5379211003831071"
"107","0.8061864568945761","0.7878597980186607","0.8245131157704916","0.19952570392928873","0.18864715085399325","0.2104042570045842","0.37058565348025824","0.2280439723773763","0.5131273345831402","0.3850366881555838","0.2293439488644376","0.5407294274467299"
"109","0.8090666466647152","0.7882863371754463","0.829846956153984","0.20024704057370357","0.18759025513168567","0.21290382601572147","0.4074942617838798","0.29318290254737106","0.5218056210203885","0.3881052803696191","0.23169670138858484","0.5445138593506534"
"111","0.810726052594794","0.7905303018723173","0.8309218033172707","0.2016305145221049","0.18687743634628834","0.21638359269792146","0.4026823809451891","0.3820772076003023","0.4232875542900759","0.39017844260287177","0.23229242625287685","0.5480644589528667"
"113","0.8085986296144447","0.7897615035268417","0.8274357557020479","0.2012725575643283","0.1858540140087403","0.2166911011199163","0.41913477489710294","0.3492518807700613","0.48901766902414456","0.39212727326785757","0.233329638389615","0.5509249081461002"
"115","0.8082006282888028","0.790433397970553","0.8259678586070527","0.2035411814738846","0.1862308579730965","0.2208515049746727","0.33492686594332777","0.2964450694473256","0.3734086624393299","0.3964455267290951","0.2393803921923475","0.5535106612658427"
"117","0.8073661913626946","0.7911116494155607","0.8236207333098284","0.20513301478787674","0.1884297176931023","0.22183631188265118","0.4195694473858092","0.3802514933446579","0.4588874014269605","0.39944086752188573","0.24346060815721615","0.5554211268865553"
"119","0.8094359866732963","0.793122898289806","0.8257490750567867","0.20559862932450795","0.18832142317159672","0.22287583547741915","0.4824881441796358","0.3999041782851571","0.5650721100741145","0.40165761997743393","0.24553560481961334","0.5577796351352545"
"121","0.8103189274571072","0.7936040848447029","0.8270337700695114","0.20611795025340446","0.18730325949810445","0.22493264100870444","0.4329654598520156","0.3891517441855572","0.47677917551847404","0.40341870612586916","0.24686372288551578","0.5599736893662226"
"123","0.8127467843505733","0.7946309752672833","0.8308625934338634","0.20794242029049456","0.1870239961579055","0.22886084442308363","0.4613522982763422","0.28273746731354354","0.6399671292391409","0.405777670101704","0.2502839527370079","0.5612713874664002"
"125","0.8153184725394971","0.7955189610327418","0.8351179840462524","0.20917909545032634","0.18562325696594217","0.2327349339347105","0.5584188629518984","0.5514308635717151","0.5654068623320816","0.4075496297907907","0.25273727227660214","0.5623619873049792"
"127","0.8169025601755341","0.7968206240456153","0.8369844963054529","0.21251522996491518","0.18559392125770408","0.23943653867212625","0.579673944634504","0.5435134261448231","0.6158344631241848","0.4082788316189442","0.2537101563736752","0.5628475068642131"
"129","0.8143222937214152","0.798267935239632","0.8303766522031982","0.21681312903867273","0.18729142804913168","0.24633483002821377","0.5146150223327637","0.42925162517297505","0.5999784194925524","0.4095996271491538","0.2553258940911427","0.5638733602071649"
"131","0.8115477961016813","0.7982339929459353","0.8248615992574272","0.22126311785109123","0.19058822974548467","0.2519380059566978","0.46240060023188606","0.2713248757131581","0.653476324750614","0.41107563171711725","0.2565011980985166","0.5656500653357179"
"133","0.8114924002509354","0.7977911999705862","0.8251936005312845","0.22700479424908185","0.19275869662499684","0.26125089187316686","0.5590947689508681","0.4883594745068284","0.6298300633949077","0.4130014062659638","0.25805959846551846","0.5679432140664091"
"135","0.8142887875770493","0.7997889932636834","0.828788581890415","0.23076239134653515","0.19499568878273368","0.26652909391033663","0.6238120551116475","0.5877637224508396","0.6598603877724553","0.41437372376150833","0.2582901821574558","0.5704572653655609"
"137","0.8157569059491306","0.8015813905286377","0.8299324213696235","0.23134490849850492","0.19535313602896967","0.26733668096804014","0.6238242123387683","0.5727170867308676","0.674931337946669","0.41703574959193007","0.26194376744468684","0.5721277317391733"
"139","0.8193604026466097","0.8059593833435044","0.8327614219497151","0.2302798615060513","0.1970521424723387","0.26350758053976386","0.6041063429818375","0.5410629779891503","0.6671497079745248","0.41892970080458336","0.2645235854659734","0.5733358161431933"
"141","0.8188410214746631","0.8082867163844968","0.8293953265648295","0.22963420741350227","0.19710889729687686","0.2621595175301277","0.6724735934310397","0.6498776097042234","0.695069577157856","0.41997354588308233","0.26552001951616744","0.5744270722499972"
"143","0.8175910145853206","0.8090839132807703","0.8260981158898708","0.22867060705557257","0.19675749769910858","0.2605837164120366","0.6601779137041631","0.6112512245897482","0.709104602818578","0.4219780737452371","0.267776233192126","0.5761799142983481"
"145","0.8161163083239442","0.8072233982096888","0.8250092184381997","0.22669573050425273","0.19539572897854807","0.2579957320299574","0.6912441167065172","0.6362160009625595","0.7462722324504749","0.4227636864956219","0.2683968202560594","0.5771305527351844"
"147","0.8170721004689053","0.8076908242705917","0.826453376667219","0.22540766488016115","0.19382125370431724","0.25699407605600505","0.7272810366935305","0.6731787018721334","0.7813833715149276","0.4241118351415759","0.2696883934414371","0.5785352768417147"
"149","0.8161602387310164","0.80603104679622","0.8262894306658128","0.2241480281348883","0.19354757986102078","0.2547484764087558","0.7526717541436381","0.693862662172032","0.8114808461152442","0.42498350714514166","0.2694480702721829","0.5805189440181004"
"151","0.8152326737153011","0.8059515207540184","0.8245138266765837","0.22484807324801398","0.1937408922741084","0.25595525422191956","0.7584218191446352","0.6829006529945684","0.8339429852947022","0.4265618995027365","0.26942868943890597","0.583695109566567"
"153","0.8153763884278046","0.8065679583486705","0.8241848185069387","0.22317751834414595","0.19364078812990415","0.25271424855838776","0.7629891866123586","0.6859683177514533","0.840010055473264","0.4280463003175375","0.2692986695239342","0.5867939311111408"
"155","0.8142240536801335","0.807177552269357","0.8212705550909101","0.2238307444581073","0.1936056421189661","0.25405584679724846","0.7942869499223205","0.7273889502007334","0.8611849496439077","0.4299435923819931","0.2696913420844933","0.5901958426794929"
"157","0.8176031665537224","0.8090015607741994","0.8262047723332455","0.2279855362222719","0.19473481602773166","0.26123625641681214","0.8131410827146965","0.7580104293896","0.8682717360397932","0.4322647449632759","0.2717705637786668","0.592758926147885"
"159","0.821277611787332","0.808534204464483","0.8340210191101811","0.23323681732322754","0.19458185644052092","0.2718917782059342","0.8009220234822954","0.7322421431970025","0.8696019037675883","0.4333830968865362","0.2736117302042539","0.5931544635688185"
"161","0.823239397385855","0.8088383349288053","0.8376404598429048","0.24060976329864883","0.19453294694443374","0.2866865796528639","0.831492660127888","0.7848492600657919","0.8781360601899841","0.43377497431875106","0.27298006837038435","0.5945698802671178"
"163","0.8243211541330885","0.8103381211759497","0.8383041870902272","0.24690770998021513","0.1953573626078386","0.2984580573525917","0.8541421346471569","0.818153412576794","0.89013085671752","0.4353694318072494","0.2737924426597159","0.5969464209547829"
"165","0.8256436380677246","0.8134952959730624","0.8377919801623867","0.24926202585298665","0.19576092827067454","0.30276312343529876","0.8601481603738901","0.8256882992908483","0.8946080214569319","0.43836432402118586","0.2772220354960822","0.5995066125462896"
"167","0.8273610686807803","0.8164631173190496","0.838259020042511","0.2469429680719999","0.19492670194756065","0.29895923419643916","0.8685173821848227","0.8380616588884303","0.8989731054812149","0.44042056032302856","0.2798317815647338","0.6010093390813234"
"169","0.8299096707302698","0.8170114523862841","0.8428078890742554","0.24685021349965264","0.19453689731846968","0.2991635296808356","0.8754249739116203","0.8453948475102573","0.9054551003129834","0.4425754547731644","0.28271882952973987","0.602432080016589"
"171","0.8290214480544155","0.8154146739014361","0.8426282222073949","0.2469362477431788","0.19486414040208025","0.2990083550842773","0.8821666175606642","0.8572334558425032","0.907099779278825","0.44275316820257793","0.2819308102591313","0.6035755261460245"
"173","0.8274413397492328","0.8134922062798674","0.8413904732185982","0.24468621766790122","0.19422816726218425","0.2951442680736182","0.8864535710829071","0.8636117609019636","0.9092953812638508","0.44486495595069475","0.2842003985026573","0.6055295133987322"
"175","0.8257721218738894","0.8112727793700987","0.8402714643776801","0.24484838385607008","0.19688420080833852","0.29281256690380164","0.8913884960377567","0.8644589691997403","0.9183180228757731","0.4459879240833497","0.2852157415312154","0.606760106635484"
"177","0.8250779915191317","0.8110476065080052","0.8391083765302582","0.2481716532627285","0.19612345987436028","0.3002198466510967","0.8970361180886477","0.8671306887906318","0.9269415473866636","0.44718040115539837","0.2866298591591588","0.607730943151638"
"179","0.8265115874115473","0.8119640885565446","0.84105908626655","0.25041447938131484","0.19652307404316297","0.30430588471946673","0.8993329333863604","0.870716228911196","0.9279496378615248","0.4492186010098904","0.2887204283482843","0.6097167736714965"
"181","0.8301845310324905","0.8134161348811797","0.8469529271838012","0.25356189317831673","0.1977672411332765","0.3093565452233569","0.9039111884379538","0.8749532110836986","0.932869165792209","0.45075129840391115","0.28983003579584765","0.6116725610119746"
"183","0.8293044920685284","0.8152519908116861","0.8433569933253706","0.25465399170619357","0.19837975336383473","0.3109282300485524","0.9044589736523752","0.8779732379820763","0.9309447093226739","0.4523925278403762","0.2915312550345073","0.6132538006462451"
"185","0.8316880257984063","0.8200350080444618","0.8433410435523506","0.2508508676633268","0.19791728900455371","0.3037844463220999","0.9072156980076688","0.8857809598233761","0.9286504361919614","0.45433126760280773","0.2938658864873792","0.6147966487182362"
"187","0.8352950693291952","0.8240624818632265","0.8465276567951637","0.24619455241712668","0.1974162045337936","0.29497290030045975","0.912000433702479","0.8897104073128346","0.9342904600921235","0.45496539632778527","0.2941667544113352","0.6157640382442353"
"189","0.838293736041745","0.825978973867705","0.8506084982157849","0.2447668169036696","0.19716048305194467","0.29237315075539455","0.914429675190072","0.8902778024646049","0.9385815479155393","0.4562090396348871","0.2956957746251217","0.6167223046446525"
"191","0.8373028015658184","0.8228714376527052","0.8517341654789315","0.24108657397254774","0.19449243855045797","0.2876807093946375","0.9203880153891761","0.899397857217844","0.9413781735605082","0.4591479906932169","0.29990240948646407","0.6183935718999697"
"193","0.8349291563661035","0.8218217425777559","0.8480365701544512","0.2395686728301772","0.19110874834938107","0.2880285973109733","0.9205705535060871","0.8986952286540257","0.9424458783581484","0.46122836846180176","0.30247792268788753","0.619978814235716"
"195","0.8346271352674528","0.8193192710242119","0.8499349995106937","0.2383162796180051","0.18536781763470866","0.29126474160130156","0.9233290144825197","0.9007987908685072","0.945859238096532","0.4636828864528315","0.3056347983070898","0.6217309745985733"
"197","0.8347099995319744","0.8181225172789496","0.8512974817849994","0.23927520546852113","0.18361867299627405","0.2949317379407682","0.9237408936401739","0.900550847346073","0.9469309399342746","0.46701345987612086","0.3103720464923629","0.6236548732598788"
"199","0.8363774408511269","0.8193194943521984","0.8534353873500552","0.2423208818091816","0.18288328728111414","0.30175847633724906","0.9250480114432201","0.902688318127413","0.9474077047590272","0.4698676961757923","0.314369774909915","0.6253656174416696"